term,z,n_bad,n_good,gloss
desse,4.479339081620593,42.0,23.0,
mim,4.475811247861622,72.0,57.0,
tendo,4.443131660821453,33.0,14.0,
pendentes,4.434253833228313,30.0,11.0,
recebo,4.406501436391103,46.0,28.0,
quer,4.336023490604045,35.0,17.0,
teria,4.336023490604045,35.0,17.0,
cidade,4.326519263881623,32.0,14.0,
iguais,4.3238801930328155,31.0,13.0,
tivesse,4.321191243365689,30.0,12.0,
cliente,4.320215851582432,161.0,176.0,
desejar,4.303406968187805,54.0,38.0,
fornecedor,4.2964745939492515,75.0,63.0,
diferentes,4.28731588563047,44.0,27.0,
falsificado,4.271901107731456,43.0,1.0,
deve,4.2332960035394676,37.0,20.0,
entanto,4.227546895494378,36.0,19.0,
celular,4.224724148443498,66.0,53.0,
rastrear,4.209964660678666,32.0,15.0,
sistema,4.203950631071732,30.0,13.0,
carregador,4.201250061396595,29.0,12.0,
suporte,4.195728965734973,45.0,29.0,
informações,4.185099192431198,52.0,37.0,
seria,4.150734605845536,83.0,75.0,
segunda,4.127618344731553,60.0,47.0,
toalhas,4.114519444830816,36.0,20.0,
deveria,4.0860628931873695,97.0,94.0,
número,4.077716590302149,28.0,12.0,
lugar,4.071565081048965,43.0,28.0,
entregam,4.0287825743011245,39.0,24.0,
fica,4.0193064824882,72.0,63.0,
recebimento,3.9686853937253437,43.0,29.0,
vários,3.9202432104675897,39.0,25.0,
logo,3.880453474827016,44.0,31.0,
ontem,3.8690336254913755,34.0,20.0,
disso,3.86624115572279,43.0,30.0,
stark,3.852549355585029,136.0,151.0,
medidas,3.8384024194285784,30.0,16.0,
colcha,3.8324848850484443,29.0,15.0,
vocês,3.817376472556905,96.0,97.0,
outros,3.808779757771406,65.0,57.0,
embalagem,3.766214829808317,163.0,191.0,packaging
fraco,3.7525507409370213,34.0,21.0,
cima,3.7230249465692533,31.0,18.0,
bebê,3.7144871893486378,30.0,17.0,
transportadora,3.6967425947208477,45.0,34.0,carrier
noite,3.6133597162178632,40.0,29.0,
opinião,3.580312696067016,44.0,34.0,
agência,3.56300146094143,27.0,15.0,
horas,3.56300146094143,27.0,15.0,
deveriam,3.5503345554888397,36.0,25.0,
entregues,3.5087002918499635,62.0,57.0,
qualquer,3.507154662842136,50.0,42.0,
plástico,3.4378436767843357,51.0,44.0,
varias,3.4223367944982312,26.0,15.0,
pessoa,3.3659044765874113,38.0,29.0,
junto,3.351435751282889,47.0,40.0,
demorou,3.3500410497973463,124.0,144.0,
pedir,3.314801769534108,28.0,18.0,
venho,3.314801769534108,28.0,18.0,
hora,3.314609188574872,57.0,53.0,
deste,3.2912356271015524,34.0,25.0,
tampa,3.273082772813753,33.0,24.0,
imagem,3.2237940073334346,60.0,58.0,
mostra,3.2204191511858773,30.0,21.0,
inclusive,3.218344697349727,36.0,28.0,
dificuldade,3.1872790878679584,28.0,19.0,
mesa,3.1872790878679584,28.0,19.0,
enviou,3.1777508837033888,34.0,26.0,
porta,3.14177505004309,25.0,16.0,
cobrado,3.0794304041553366,29.0,21.0,
fato,3.0606087835717166,28.0,20.0,
longo,3.0442976748897532,42.0,37.0,
aparelho,2.9384342016500185,52.0,51.0,
cada,2.9300383870439335,45.0,42.0,
vcs,2.916566233409426,96.0,112.0,
caro,2.9088725301602834,71.0,77.0,
primeiro,2.9058510802562676,32.0,26.0,
fino,2.9058510802562676,32.0,26.0,
fez,2.8932133514233467,26.0,19.0,
portanto,2.8932133514233467,26.0,19.0,
numa,2.85294692752854,24.0,17.0,
relogio,2.843096014278021,34.0,29.0,
via,2.843096014278021,34.0,29.0,
primeira,2.813052205193104,112.0,137.0,
parece,2.7770745931680447,104.0,126.0,
demorado,2.740174235535713,25.0,19.0,
nessa,2.7169512345264044,44.0,43.0,
luminária,2.6944658979846006,23.0,17.0,
água,2.6944658979846006,23.0,17.0,
bateria,2.687407684869834,28.0,23.0,
devido,2.624535920669264,47.0,48.0,
claro,2.5828678693573757,24.0,19.0,
impressão,2.55690551251802,23.0,18.0,
recebido,2.5546090397893297,108.0,136.0,
frágil,2.5336857264515653,41.0,41.0,
efetuada,2.421081003479032,23.0,19.0,
demorada,2.421081003479032,23.0,19.0,
recomendar,2.421081003479032,23.0,19.0,
várias,2.379405264224712,33.0,32.0,
vezes,2.3561344505753516,86.0,107.0,
chegado,2.3513329004377916,25.0,22.0,
fosse,2.3475060107074355,59.0,68.0,
pelos,2.3119881692007906,40.0,42.0,
coisa,2.3111918094133106,48.0,53.0,
internet,2.2936599787662817,50.0,56.0,
teve,2.2931917409830676,27.0,25.0,
estamos,2.2871300912712567,23.0,20.0,
envio,2.285761288810992,64.0,76.0,
funcionou,2.278101487555447,39.0,41.0,
semanas,2.254586759256616,22.0,19.0,
colocar,2.252568252128307,41.0,44.0,
amassada,2.238166287622115,32.0,32.0,
parceiros,2.238166287622115,32.0,32.0,
papel,2.20289288140357,31.0,31.0,
corresponde,2.1670470063157667,30.0,30.0,
pendente,2.1374939770528587,26.0,25.0,
acredito,2.1113477056286607,37.0,40.0,
deixa,2.1007448396142294,34.0,36.0,
cumprido,2.0632891911946962,24.0,23.0,
tapete,2.019078741921935,58.0,71.0,
assim,1.975521531356685,133.0,186.0,
demais,1.9731536400207241,63.0,79.0,
defeitos,1.8973079548166891,23.0,23.0,
adquirido,1.8973079548166891,23.0,23.0,
enquanto,1.8666857944026816,28.0,30.0,
fico,1.8401242432549891,30.0,33.0,
fotos,1.8248952183133145,27.0,29.0,
recomendaria,1.8014270099938574,41.0,49.0,
cortina,1.7718278421484872,69.0,91.0,
muitos,1.7691897912565941,20.0,20.0,
deixou,1.7315925835287143,37.0,44.0,
novo,1.690204910439268,36.0,43.0,
ver,1.656560526885049,54.0,70.0,
relógio,1.6532509714256034,156.0,230.0,
culpa,1.6477836557509293,23.0,25.0,
algum,1.5534069966134438,35.0,43.0,
conta,1.5476800764241818,37.0,46.0,
responsabilidade,1.5261371358716884,23.0,26.0,
cama,1.5162700686225832,32.0,39.0,
adquiri,1.5022806991209876,20.0,22.0,
surpresa,1.4508099177342877,19.0,21.0,
cores,1.3926651362153086,25.0,30.0,
menos,1.3796960077309626,58.0,80.0,
pulseira,1.3726615510806002,20.0,23.0,
anuncio,1.3726050498439082,56.0,77.0,
chega,1.3726050498439082,56.0,77.0,
você,1.3181667880616696,19.0,22.0,
num,1.3009471980120073,21.0,25.0,
parceira,1.2889811033194105,23.0,28.0,
quem,1.2632947130589594,55.0,77.0,
perfume,1.2233699111105474,30.0,39.0,
melhorar,1.1788144061654915,21.0,26.0,
precisa,1.1727072998393682,29.0,38.0,
tecido,1.1525167607041191,47.0,66.0,
direito,1.1287842340615444,18.0,22.0,
menor,1.112224336401524,53.0,76.0,
semana,1.080623741904594,59.0,86.0,
tão,1.0302989247446415,39.0,55.0,
queria,1.0005981846765697,57.0,84.0,
úteis,0.9987519264208858,20.0,26.0,
responsável,0.9987126114630236,18.0,23.0,
dizer,0.9413135888623694,21.0,28.0,
chegaram,0.9298294188775589,52.0,77.0,they arrived
nesse,0.8880165839146014,22.0,30.0,
pode,0.88692914037005,51.0,76.0,
transporte,0.8513806854978386,25.0,35.0,
irei,0.8258503730924661,21.0,29.0,
tenha,0.8142235160332044,19.0,26.0,
baixo,0.8142235160332044,19.0,26.0,
extremamente,0.7918187971341043,24.0,34.0,
vem,0.7545640304478707,59.0,91.0,
algumas,0.7469359418303488,18.0,25.0,
atrasou,0.7469359418303488,18.0,25.0,
embora,0.7125110038153448,21.0,30.0,
marcado,0.6768120930957378,17.0,24.0,
dei,0.6768120930957378,17.0,24.0,
americana,0.6679230481381849,27.0,40.0,
proteção,0.6012430447479618,21.0,31.0,
quanto,0.5645765954399614,62.0,99.0,
capinha,0.5526128756484926,17.0,25.0,
garantia,0.5526128756484926,17.0,25.0,
entre,0.5198309716134875,23.0,35.0,
entregue,0.493178153821149,1237.0,2127.0,delivered
compromisso,0.4827303965225934,24.0,37.0,
acho,0.4372730375932926,72.0,118.0,
pensei,0.422312431827281,20.0,31.0,
tanto,0.41663047947430315,38.0,61.0,
prazos,0.3890651199530289,18.0,28.0,
mercado,0.35320755500748646,16.0,25.0,
montagem,0.34941291301753263,22.0,35.0,
simples,0.2924555586823023,40.0,66.0,
solicitado,0.25357932125946064,35.0,58.0,
alto,0.23961691201932386,19.0,31.0,
compro,0.23436805559567062,136.0,232.0,
poder,0.14858836275317602,15.0,25.0,
vindo,0.14858836275317602,15.0,25.0,
descaso,0.14443812782638935,44.0,0.0,
providências,0.1394267260594866,41.0,0.0,
enganosa,0.1377157547471651,40.0,0.0,
instalação,0.08272030817167428,17.0,29.0,
forma,0.06459231887946802,48.0,83.0,
meio,0.047795972437480995,22.0,38.0,
relação,0.019301415307604517,31.0,54.0,
manual,0.01692710616058069,39.0,68.0,
excelentes,-0.1277887499379649,0.0,41.0,
amo,-0.1308686154438372,0.0,43.0,
continuem,-0.1308686154438372,0.0,43.0,
ótimas,-0.13826853612388254,0.0,48.0,
causa,-0.15973154635081777,18.0,33.0,
uso,-0.16926060535393653,55.0,99.0,
som,-0.18011428718320244,14.0,26.0,
adorou,-0.18072558728713772,0.0,82.0,
show,-0.18400221939425843,0.0,85.0,
processo,-0.19423537844075936,34.0,62.0,
direitinho,-0.19656354953574218,0.0,97.0,
entregas,-0.23810254492114738,27.0,50.0,
outras,-0.2511398137509665,52.0,95.0,
cuidado,-0.2741277217396624,24.0,45.0,
avarias,-0.29591141526886255,14.0,27.0,
seguinte,-0.29591141526886255,14.0,27.0,
dado,-0.29876361109140154,20.0,38.0,
lojas,-0.3170729425251055,132.0,239.0,
vale,-0.4054641754940341,60.0,112.0,
imaginei,-0.4505654308456302,17.0,34.0,
pequeno,-0.48336411247881655,51.0,97.0,
usar,-0.4914396837132335,46.0,88.0,
apesar,-0.49790067670717486,69.0,130.0,
especificado,-0.5190850589812046,14.0,29.0,
alguns,-0.5911762597727311,21.0,43.0,
compraria,-0.6200323436816348,24.0,49.0,
chego,-0.6266915316783497,14.0,30.0,
segurança,-0.6339988693980917,15.0,32.0,
neste,-0.6339988693980917,15.0,32.0,
sucesso,-0.6490827091853901,17.0,36.0,
vir,-0.6723032154919941,20.0,42.0,
poderiam,-0.8347348494648101,12.0,28.0,
anúncio,-0.905496756361198,76.0,151.0,
anos,-0.9652178433144556,29.0,63.0,
reclamar,-1.0051542419704698,38.0,81.0,
clientes,-1.0351424839585337,28.0,62.0,
tamanho,-1.0415536849565508,66.0,135.0,
deu,-1.0656668113947518,61.0,126.0,
mochila,-1.0696845576861165,38.0,82.0,
descrição,-1.0769612981802212,81.0,164.0,
barato,-1.1056012567796336,20.0,47.0,
novamente,-1.1245194856286886,35.0,77.0,
grande,-1.138218655515613,54.0,114.0,
realizada,-1.1821143398444383,30.0,68.0,
pessoas,-1.2597744752546136,11.0,30.0,
experiência,-1.2597744752546136,11.0,30.0,
informado,-1.337491682231186,47.0,104.0,
nesta,-1.3495976234773102,20.0,50.0,
pequena,-1.455045969567945,17.0,45.0,
atenção,-1.4581602849820727,29.0,70.0,
ficou,-1.4921416092692004,68.0,148.0,
bolsa,-1.5389391047939784,26.0,65.0,
são,-1.5780497296060916,131.0,271.0,
feita,-1.6344092551585663,68.0,151.0,
seus,-1.6582490952779487,20.0,54.0,
podem,-1.6842802235871266,13.0,39.0,
única,-1.6842802235871266,13.0,39.0,
greve,-1.692177084320382,24.0,63.0,
certa,-1.7289680164055667,15.0,44.0,
acabado,-1.7583070439407622,10.0,33.0,
grata,-1.7583070439407622,10.0,33.0,
normal,-1.7583070439407622,10.0,33.0,
especificações,-1.7742604539900753,17.0,49.0,
aprovado,-1.7922542034907618,12.0,38.0,
funcionando,-1.8261881137954319,33.0,84.0,
cumpriu,-1.9538250365951861,25.0,69.0,
ocorreu,-1.9808609538792699,37.0,95.0,
baratheon,-2.1315739733931793,76.0,178.0,
único,-2.157849895022647,20.0,61.0,
maior,-2.1788858067795767,41.0,107.0,
testar,-2.2430012219390747,13.0,46.0,
comprarei,-2.27387006078516,21.0,65.0,
necessidade,-2.2991487831892217,9.0,37.0,
igual,-2.324361713870503,43.0,114.0,
estrelas,-2.3393125503308183,8.0,35.0,
antecedência,-2.460612277372056,7.0,34.0,
loja,-2.4742094902850504,727.0,1422.0,store
problemas,-2.518465854951465,94.0,224.0,
resto,-2.610777021373114,7.0,36.0,
aparentemente,-2.632188219833271,12.0,49.0,
comprando,-2.7348349847005786,11.0,48.0,
geral,-2.7535266832951337,7.0,38.0,
final,-2.783756176071054,18.0,66.0,
montar,-2.8642389277240414,13.0,55.0,
atendido,-2.865602028412252,15.0,60.0,
correta,-2.885415460040652,24.0,82.0,
data,-2.8970771148518857,210.0,467.0,
achei,-2.9080635002674655,127.0,302.0,
tempo,-2.9292637481152264,144.0,337.0,
filha,-2.9974092630950193,24.0,84.0,
trabalho,-3.006994245585473,21.0,77.0,
entregou,-3.0786354491230488,122.0,297.0,
confiança,-3.195516333853731,16.0,68.0,
atendida,-3.215614638007365,10.0,53.0,
amigos,-3.253751143469887,3.0,37.0,
espectativas,-3.256797616708306,1.0,47.0,
segura,-3.2616871517059294,5.0,41.0,
promete,-3.2746710050278365,10.0,54.0,
beneficio,-3.299459519269744,1.0,49.0,
voltarei,-3.316870829817359,5.0,42.0,
facil,-3.325988892289555,2.0,39.0,
brinde,-3.3629734239907076,2.0,40.0,
filho,-3.364546659251282,16.0,71.0,
equipe,-3.3707993716234235,5.0,43.0,
