seller_state,customer_state,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_transit_days,avg_distance_km,gmv,lane,excess_detractors,gmv_exposure,sar_share
SP,SE,207,3.816425120772947,0.19806763285024154,0.1642512077294686,21.187691223832527,17.822876409017713,1724.1146408908137,33543.08,SP to SE,14.533633319380492,2355.086111703601,0.013812146297481816
PR,BA,141,3.8226950354609928,0.19148936170212766,0.16312056737588654,21.835244286840034,17.724162726556344,1762.2000281994237,33147.6,PR to BA,8.972185014650481,2109.2652481675764,0.012370452206866668
SP,PB,332,4.033132530120482,0.15963855421686746,0.10843373493975904,20.379461596385543,16.80305388219545,2163.3401042722553,65162.17,SP to PB,10.551527835914603,2070.965212661444,0.01214582955252696
SP,PI,324,3.9598765432098766,0.1697530864197531,0.18209876543209877,20.34344993141289,16.98213091563786,2016.085244688959,48923.95,SP to PI,13.574382586856427,2049.7296758031925,0.012021287039905387
RJ,PR,200,4.095,0.175,0.085,12.736059027777777,10.052902777777778,824.8750380764394,40627.08,RJ to PR,9.42863122645458,1915.2887756383418,0.011232815921072782
SP,MS,476,4.092436974789916,0.15336134453781514,0.14495798319327732,15.97093108076564,12.760136554621848,808.5631614089027,72653.4,SP to MS,12.140142318961914,1852.9886889841753,0.010867437386955963
RJ,SP,1302,4.15668202764977,0.1336405529953917,0.09062980030721966,11.746906468680663,8.988164575866188,402.31389682755423,258521.1,RJ to SP,7.5303892842193445,1495.2108457639,0.008769136230153978
RS,RJ,234,4.115384615384615,0.15384615384615385,0.08547008547008547,14.001854819563153,10.367916073124407,1121.320667016655,47589.1,RS to RJ,6.081498534951865,1236.8078714943495,0.007253650377395211
MG,RJ,1126,4.142095914742451,0.13321492007104796,0.09236234458259325,14.053551781132821,11.067905688770475,370.7789977813619,146234.0,MG to RJ,6.033193804939308,783.5329155164251,0.004595276242437185
SC,MG,423,4.1063829787234045,0.13711583924349882,0.05200945626477541,14.761664368268978,11.391047741003414,948.3549806140021,79407.06,SC to MG,3.916555043951446,735.229601343629,0.004311986201069961
MA,SP,122,3.9262295081967213,0.18032786885245902,0.2459016393442623,16.135325591985428,10.859494535519126,2331.959073932336,11210.75,MA to SP,6.401465048137297,588.2395433475837,0.0034499165827968133
SP,RS,3571,4.126015121814618,0.12881545785494258,0.07588910669280313,16.14314812221911,12.971896202925615,906.585721722981,437198.55,SP to RS,3.4232105483465536,419.1046452203355,0.002457971555677038
DF,MG,101,4.0,0.15841584158415842,0.009900990099009901,9.326292629262927,6.9224903740374035,602.6745013965111,11955.25,DF to MG,3.086458769359565,365.3404574493657,0.002142654496412168
SP,RN,327,4.107033639143731,0.1345565749235474,0.11926605504587157,20.471924906557934,17.026966530750933,2259.825022449488,53945.74,SP to RN,2.1908120552532404,361.42194960720775,0.0021196731696085528
SP,TO,197,4.106598984771574,0.13705583756345177,0.12690355329949238,17.775987027636774,14.312076988155667,1479.694109718823,35558.79,SP to TO,1.8122017580577636,327.1050850375981,0.0019184110792115911
RJ,RS,197,4.223350253807107,0.13705583756345177,0.09644670050761421,15.822595882684716,12.739015792442189,1181.70973365663,34749.4,RJ to RS,1.8122017580577636,319.6595115302155,0.0018747441618782662
MG,BA,364,4.118131868131868,0.13186813186813187,0.10164835164835165,18.036122557997558,14.966042811355312,1047.793543249212,44564.28,MG to BA,1.4601088321473432,178.76016161067912,0.0010483954247185235
PR,ES,105,4.076190476190476,0.13333333333333333,0.08571428571428572,17.711183862433863,14.19763888888889,1190.862366644742,15966.380000000001,PR to ES,0.5750313938886562,87.43971187386632,0.0005128178059433515
SP,MG,7373,4.150006781500068,0.12423708124237082,0.0625254306252543,12.316809737480597,9.090162005636945,495.2213858907853,915269.97,SP to MG,-26.688509836751745,0.0,0.0
SP,MT,644,4.175465838509317,0.12267080745341614,0.06366459627329192,17.6140312284334,14.394710791925466,1344.5444676719728,95463.24,SP to MT,-3.339807450816244,0.0,0.0
SC,SP,1306,4.223583460949464,0.11791730474732007,0.043644716692189896,12.078098413306108,9.042660477284327,511.9263604258967,197990.55,SC to SP,-12.98103809125156,0.0,0.0
SP,PR,3095,4.189337641357027,0.11922455573505654,0.05298869143780291,12.750446284329563,9.544319915634537,463.15220806367654,390818.59,SP to PR,-26.716931770615332,0.0,0.0
SP,RO,168,4.232142857142857,0.10119047619047619,0.02976190476190476,19.384945436507934,16.398363095238096,2197.6317510723275,26351.89,SP to RO,-4.47994976977815,0.0,0.0
SC,SC,255,4.407843137254902,0.08235294117647059,0.06274509803921569,8.535898692810457,5.505669934640523,146.770675666463,45971.409999999996,SC to SC,-11.603495186270406,0.0,0.0
SC,RS,288,4.3125,0.1076388888888889,0.059027777777777776,12.82157600308642,9.71662567515432,419.208287191135,45072.31,SC to RS,-5.822771033905398,0.0,0.0
SP,SP,30477,4.250024608721331,0.10657216917675624,0.06178429635462808,7.910793407961559,4.789178992896008,150.05259918518212,3491684.03,SP to SP,-648.6930305567183,0.0,0.0
SC,PR,282,4.386524822695035,0.07446808510638298,0.031914893617021274,11.086244089834516,8.425130516154452,328.99100581572935,42583.74,SC to PR,-15.055629970699039,0.0,0.0
BA,SP,136,4.198529411764706,0.10294117647058823,0.051470588235294115,11.367933006535948,8.309140114379085,1421.1903101219907,72555.64,BA to SP,-3.388530766010884,0.0,0.0
